product_page_url,product_tile,shop_name,add_to_wishlist_number,brand_name,image_url,price,category,number_of_reviews,review_score,number_of_orders
"https://www.aliexpress.com/item/2018-Autumn-Winter-New-Style-Women-Long-Sleeve-Patchwork-Lace-Dress-Fall-Fashion-Casual-Crochet-Lace/32944219262.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-0&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",2018 Autumn Winter New Style Women Long Sleeve Patchwork Lace Dress Fall Fashion Casual Crochet Lace A-Line Mini Dresses,LISCNAA Store,,LISCN,https://ae01.alicdn.com/kf/HTB1jnkFXovrK1RjSspcq6zzSXXaX/2018-Autumn-Winter-New-Style-Women-Long-Sleeve-Patchwork-Lace-Dress-Fall-Fashion-Casual-Crochet-Lace.jpg_640x640.jpg,10.99 - 12.98,Dresses,19,19,6547
"https://www.aliexpress.com/item/Style-female-autumn-winter-casual-letter-print-new-pullovers-women-hoodies-floral-o-neck-Full-sweatshirts/32946120533.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-1&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Style female autumn winter  casual letter print new  pullovers women hoodies floral o-neck Full sweatshirts,Lchuan Store,,JUNBIE,https://ae01.alicdn.com/kf/HTB1VN.ShMHqK1RjSZFgq6y7JXXaq/Style-female-autumn-winter-casual-letter-print-new-pullovers-women-hoodies-floral-o-neck-Full-sweatshirts.jpg_640x640.jpg,9.44 - 10.18,Hoodies & Sweatshirts,20,20,1264
"https://www.aliexpress.com/item/BTS-Love-Yourself-k-pop-Women-Hoodies-Sweatshirts-Hoodies-outwear-Hip-Hop-Bangtan-boys-jimin-Clothes/32838904203.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-2&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",BTS  Love Yourself k pop Women Hoodies Sweatshirts Hoodies outwear Hip-Hop Bangtan boys jimin Clothes,The world's first Store,,BTS,https://ae01.alicdn.com/kf/HTB1fQiRam_I8KJjy0Foq6yFnVXa7/BTS-Love-Yourself-k-pop-Women-Hoodies-Sweatshirts-Hoodies-outwear-Hip-Hop-Bangtan-boys-jimin-Clothes.jpg_640x640.jpg,13.74,Hoodies & Sweatshirts,1640,1640,7057
"https://www.aliexpress.com/item/AZULINA-Plus-Size-Oversized-Hoodies-Sweatshirt-2018-Autumn-Women-Casual-Long-Hooded-Jacket-Coat-Pockets-Zip/32945652059.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-3&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",AZULINA Plus Size Oversized Hoodies Sweatshirt 2018 Autumn Women Casual Long Hooded Jacket Coat Pockets Zip Up Outerwear Female,Shop1966825 Store,,AZULINA,https://ae01.alicdn.com/kf/HTB1cEdpXyzxK1Rjy1zkq6yHrVXaG/AZULINA-Plus-Size-Oversized-Hoodies-Sweatshirt-2018-Autumn-Women-Casual-Long-Hooded-Jacket-Coat-Pockets-Zip.jpg_640x640.jpg,19.98 - 23.62,Hoodies & Sweatshirts,36,36,439
"https://www.aliexpress.com/item/Hoodies-Women-2018-Women-Fashion-Sweatshirts-Long-Sleeve-Hoodies-Print-Letter-Female-Tracksuits-Sportswear-Moletom-Feminino/32893267101.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-4&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Hoodies Women 2018 Women Fashion Sweatshirts Long Sleeve Hoodies Print Letter Female Tracksuits Sportswear Moletom Feminino 2XL,foxmertor factory Store,,foxmertor,https://ae01.alicdn.com/kf/HTB1GmsDj5AnBKNjSZFvq6yTKXXaf/Hoodies-Women-2018-Women-Fashion-Sweatshirts-Long-Sleeve-Hoodies-Print-Letter-Female-Tracksuits-Sportswear-Moletom-Feminino.jpg_640x640.jpg,21.49 - 26.49,Hoodies & Sweatshirts,421,421,2135
"https://www.aliexpress.com/item/New-Kpop-ARMY-Bangtan-Boys-BTS-BT21-Vapp-Pillow-Warm-Bolster-Cute-Plush-Doll-Korean-KOYA/32860762817.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-5&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",New Kpop ARMY Bangtan Boys BTS BT21 Vapp Pillow Warm Bolster Cute Plush Doll Korean KOYA TATA COOKY CHIMMY VAN SHOOKY RJ MANG,Caliburn Store,,ZZSYKD,https://ae01.alicdn.com/kf/HTB1j1uVoCtYBeNjSspkq6zU8VXa1/New-Kpop-ARMY-Bangtan-Boys-BTS-BT21-Vapp-Pillow-Warm-Bolster-Cute-Plush-Doll-Korean-KOYA.jpg_640x640.jpg,8.78 - 39.80,Hoodies & Sweatshirts,75,75,304
"https://www.aliexpress.com/item/OH-YES2017-New-Fashion-Corduroy-Long-sleeves-Letter-Harajuku-Print-Girl-Light-pink-Pullovers-Tops-O/32827761240.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-6&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",OH YES2017 New Fashion Corduroy Long sleeves Letter Harajuku Print Girl Light pink Pullovers Tops O-neck Woman Hooded sweatshirt,Yan Mu Xi Lal shop Store,,YANMUXI,https://ae01.alicdn.com/kf/HTB1Ef7.X6oIL1JjSZFyq6zFBpXac/OH-YES2017-New-Fashion-Corduroy-Long-sleeves-Letter-Harajuku-Print-Girl-Light-pink-Pullovers-Tops-O.jpg_640x640.jpg,17.65 - 18.08,Hoodies & Sweatshirts,1194,1194,3197
"https://www.aliexpress.com/item/Sexy-Women-Floral-Embroidery-knee-length-Dress-Sheer-Mesh-Autumn-Boho-A-line-Dress-See-through/32944223648.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-7&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Sexy Women Floral Embroidery knee-length Dress Sheer Mesh Autumn Boho A-line Dress See-through Black Dress 2018 Vestidos,discountBB Store,,LISCN,https://ae01.alicdn.com/kf/HTB1vowGXjzuK1RjSspeq6ziHVXaX/Sexy-Women-Floral-Embroidery-knee-length-Dress-Sheer-Mesh-Autumn-Boho-A-line-Dress-See-through.jpg_640x640.jpg,10.98 - 13.39,Dresses,20,20,2579
"https://www.aliexpress.com/item/Korean-Simple-Hoodies-women-Plus-Velvet-Warm-Casual-Loose-Student-Long-Sleeve-Patchwork-Fleece-hoody-Sweatshirt/32947847012.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-8&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",Korean Simple Hoodies women Plus Velvet Warm Casual Loose Student Long Sleeve Patchwork Fleece hoody Sweatshirt oversize tops,Aimu Store,,WAVMIT,https://ae01.alicdn.com/kf/HTB16cNfXsnrK1RkHFrdq6xCoFXa2/Korean-Simple-Hoodies-women-Plus-Velvet-Warm-Casual-Loose-Student-Long-Sleeve-Patchwork-Fleece-hoody-Sweatshirt.jpg_640x640.jpg,15.68,Hoodies & Sweatshirts,4,4,41
"https://www.aliexpress.com/item/New-Autumn-Winter-Dress-Women-Slim-Long-Sleeve-Buttons-Casual-Bodycon-Cocktail-Knee-Length-Dress-Female/32937336289.html?ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10890_319_10546_10059_10884_317_10548_10887_10696_100031_321_322_10084_453_10083_454_10103_10618_10307_537_536,searchweb201603_51,ppcSwitch_0&algo_expid=74ccb535-15a7-44ac-8e4a-c30cc596bb91-9&algo_pvid=74ccb535-15a7-44ac-8e4a-c30cc596bb91",New Autumn Winter Dress Women Slim Long Sleeve Buttons Casual Bodycon Cocktail Knee-Length Dress Female Dresses Vestidos,LISCNAA Store,,LISCN,https://ae01.alicdn.com/kf/HTB1AX7eXXzsK1Rjy1Xbq6xOaFXak/New-Autumn-Winter-Dress-Women-Slim-Long-Sleeve-Buttons-Casual-Bodycon-Cocktail-Knee-Length-Dress-Female.jpg_640x640.jpg,9.99 - 11.99,Dresses,18,18,3669
